city,state_id,state_name,lat,lng
Prairie Ridge,WA,Washington,47.1443,-122.1408
Edison,WA,Washington,48.5602,-122.4311
Packwood,WA,Washington,46.6085,-121.6702
Wautauga Beach,WA,Washington,47.5862,-122.5482
Harper,WA,Washington,47.5207,-122.5196
Telma,WA,Washington,47.8432,-120.8157
Kahlotus,WA,Washington,46.6436,-118.5566
Mondovi,WA,Washington,47.6813,-118.0164
Washtucna,WA,Washington,46.7539,-118.3104
Pleasant Hill,WA,Washington,47.6154,-121.9096
Toledo,WA,Washington,46.4412,-122.8494
Wabash,WA,Washington,47.2429,-122.0576
Renton,WA,Washington,47.4757,-122.1904
Chehalis,WA,Washington,46.6649,-122.9660
Marcellus,WA,Washington,47.2335,-118.4053
Central Valley,WA,Washington,47.6632,-122.6499
Ralston,WA,Washington,46.9838,-118.3427
Lake City,WA,Washington,47.1487,-122.5512
Megler,WA,Washington,46.2509,-123.8576
Alder,WA,Washington,46.7872,-122.2666
Goose Prairie,WA,Washington,46.8951,-121.2670
Belvedere,WA,Washington,48.0499,-118.9850
Waverly,WA,Washington,47.3380,-117.2313
Turner Corner,WA,Washington,47.8045,-122.1435
Lofall,WA,Washington,47.8113,-122.6564
Kennydale,WA,Washington,47.5207,-122.2068
Easton,WA,Washington,47.2405,-121.1733
Navy Yard City,WA,Washington,47.5508,-122.6654
Mercer Island,WA,Washington,47.5624,-122.2265
Lynnwood,WA,Washington,47.8285,-122.3034
Coulee City,WA,Washington,47.6123,-119.2890
Centralia,WA,Washington,46.7226,-122.9695
Bryn Mawr,WA,Washington,47.5034,-122.2329
Silverdale,WA,Washington,47.6663,-122.6828
Lyle,WA,Washington,45.6956,-121.2805
Malott,WA,Washington,48.2919,-119.6954
Mountlake Terrace,WA,Washington,47.7921,-122.3077
Ilwaco,WA,Washington,46.3099,-124.0417
Fairwood,WA,Washington,47.4467,-122.1430
Warm Beach,WA,Washington,48.1649,-122.3442
Thomas,WA,Washington,47.3537,-122.2290
Parker,WA,Washington,46.5022,-120.4668
Steptoe,WA,Washington,47.0075,-117.3502
Vail,WA,Washington,46.8451,-122.6562
Magnolia Beach,WA,Washington,47.3820,-122.4832
Lakeview,WA,Washington,47.1593,-122.4982
Shaw Island,WA,Washington,48.5843,-122.9291
Oakesdale,WA,Washington,47.1304,-117.2465
Rosburg,WA,Washington,46.3076,-123.6344
Seattle,WA,Washington,47.6217,-122.3238
Onalaska,WA,Washington,46.5782,-122.7112
George,WA,Washington,47.0847,-119.8601
Index,WA,Washington,47.8214,-121.5560
Winchester,WA,Washington,47.2490,-119.7198
Chelatchie,WA,Washington,45.9279,-122.3795
Allentown,WA,Washington,47.4943,-122.2762
Novelty,WA,Washington,47.7090,-121.9846
Rosalia,WA,Washington,47.2365,-117.3762
Richmond Beach,WA,Washington,47.7695,-122.3901
Lakota,WA,Washington,47.3329,-122.3723
Liberty Lake,WA,Washington,47.6687,-117.1031
Airway Heights,WA,Washington,47.6464,-117.5802
Reardan,WA,Washington,47.6700,-117.8778
Farmer,WA,Washington,47.6126,-119.8120
Brier,WA,Washington,47.7924,-122.2736
Robe,WA,Washington,48.0973,-121.8135
Elk Plain,WA,Washington,47.0448,-122.3671
Port Townsend,WA,Washington,48.1219,-122.7873
Ocean City,WA,Washington,47.0762,-124.1619
Boulevard Park,WA,Washington,47.5135,-122.3158
Newhalem,WA,Washington,48.6737,-121.2473
Ford,WA,Washington,47.9082,-117.8058
Waterville,WA,Washington,47.6480,-120.0707
Quinault,WA,Washington,47.4670,-123.8455
Humptulips,WA,Washington,47.2491,-123.9348
Hamilton,WA,Washington,48.5281,-121.9837
Oak Harbor,WA,Washington,48.2965,-122.6331
Naches,WA,Washington,46.7270,-120.6941
Hooper,WA,Washington,46.7749,-118.1486
Anacortes,WA,Washington,48.4878,-122.6291
Kettle Falls,WA,Washington,48.6055,-118.0612
Walnut Grove,WA,Washington,45.6769,-122.6072
Salkum,WA,Washington,46.5321,-122.6259
Cunningham,WA,Washington,46.8221,-118.8064
Irby,WA,Washington,47.3593,-118.8511
Electric City,WA,Washington,47.9222,-119.0476
Burbank,WA,Washington,46.1991,-118.9728
Silver Lake,WA,Washington,46.2973,-122.8107
Dash Point,WA,Washington,47.3130,-122.4153
Pataha,WA,Washington,46.4732,-117.5366
Woods Creek,WA,Washington,47.8821,-121.8982
McKenna,WA,Washington,46.9366,-122.5501
Revere,WA,Washington,47.0813,-117.9302
Kalama,WA,Washington,46.0115,-122.8369
Grandview,WA,Washington,46.2432,-119.9082
Winthrop,WA,Washington,48.4719,-120.1790
Maltby,WA,Washington,47.8026,-122.1044
Spangle,WA,Washington,47.4297,-117.3813
Blanchard,WA,Washington,48.5934,-122.4166
Artondale,WA,Washington,47.3023,-122.6398
May Creek,WA,Washington,47.8555,-121.6742
Home,WA,Washington,47.2790,-122.7744
Vashon,WA,Washington,47.4122,-122.4726
Snoqualmie Falls,WA,Washington,47.5398,-121.8098
Laurier,WA,Washington,48.9974,-118.2247
Quincy,WA,Washington,47.2342,-119.8512
Lake McMurray,WA,Washington,48.3129,-122.2317
Martha Lake,WA,Washington,47.8479,-122.2327
Ariel,WA,Washington,45.9568,-122.5709
Thornton,WA,Washington,47.1207,-117.3896
Starbuck,WA,Washington,46.5184,-118.1251
Ronald,WA,Washington,47.2338,-121.0335
Kelso,WA,Washington,46.1249,-122.8907
Meadowdale,WA,Washington,47.8584,-122.3161
Cottage Lake,WA,Washington,47.7465,-122.0755
Cheney,WA,Washington,47.4900,-117.5789
Woodway,WA,Washington,47.7906,-122.3849
Lacey,WA,Washington,47.0444,-122.7933
Harrah,WA,Washington,46.4070,-120.5422
Allyn,WA,Washington,47.3863,-122.8386
South Bend,WA,Washington,46.6683,-123.8016
Barstow,WA,Washington,48.7783,-118.1329
Tiger,WA,Washington,48.6916,-117.4077
Warden,WA,Washington,46.9682,-119.0512
Junction City,WA,Washington,46.9712,-123.7651
Blyn,WA,Washington,48.0131,-122.9897
Lakebay,WA,Washington,47.2570,-122.7585
Tahuya,WA,Washington,47.3712,-123.0557
Waukon,WA,Washington,47.5396,-117.8433
Kitsap Lake,WA,Washington,47.5829,-122.7085
Sultan,WA,Washington,47.8703,-121.8036
Plain,WA,Washington,47.7626,-120.6573
Tanner,WA,Washington,47.4813,-121.6925
Stehekin,WA,Washington,48.3093,-120.6565
Edmonds,WA,Washington,47.8114,-122.3534
North Hill,WA,Washington,47.4193,-122.3235
Zillah,WA,Washington,46.4085,-120.2730
Monse,WA,Washington,48.1413,-119.6778
Lake Forest Park,WA,Washington,47.7592,-122.2877
Marlin,WA,Washington,47.4074,-118.9850
Chinook,WA,Washington,46.2755,-123.9425
Albion,WA,Washington,46.7920,-117.2506
Skykomish,WA,Washington,47.7103,-121.3585
